Pillar Name,Question Title,Choice Title,Trusted Advisor Checks,Unnamed: 4,CN Notes,Question ID,Choice ID,Trusted Advisor Checks_translated
Security,SEC 1 How do you securely operate your workload?,P0 Secure account root user and properties,MFA on Root Account 7DAFEmoDos,,根账户 7DAFEmoDos 上的 MFA,pillar_1_q01,pillar_1_q01choice2,多因素身份验证在根账户上
Security,SEC 1 How do you securely operate your workload?,P0 Secure account root user and properties,IAM Password Policy Yw2K9puPzl,,IAM 密码策略 Yw2K9puPzl,pillar_1_q01,pillar_1_q01choice2,密码政策 Yw2K9puPzl
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",MFA on Root Account 7DAFEmoDos,,根账户 7DAFEmoDos 上的 MFA,pillar_1_q02,pillar_1_q02choice1,多因素身份验证在根帐户上
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",Password policies for IAM users should have strong configurations,,IAM 用户的密码策略应具有强大的配置,pillar_1_q02,pillar_1_q02choice1,密码策略应该为 IAM 用户设置强大的配置。
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",MFA should be enabled for all IAM users that have a console password,,应为所有拥有控制台密码的 IAM 用户启用 MFA,pillar_1_q02,pillar_1_q02choice1,多因素身份验证应该为所有拥有控制台密码的 IAM 用户启用。
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",#NAME?,,建议但不强制,pillar_1_q02,pillar_1_q02choice1,"无法翻译该文本,因为它包含无效的文本 ""#NAME?""。请提供有效的英文文本以供翻译。"
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",Hardware MFA should be enabled for the root user,,应为根用户启用硬件 MFA,pillar_1_q02,pillar_1_q02choice1,硬件多因素身份验证应为根用户启用。
Security,SEC 2 How do you manage identities for people and machines?,P1 Use strong sign-in mechanisms - Enforce strong password policy,IAM Password Policy Yw2K9puPzl,,IAM 密码策略 Yw2K9puPzl,pillar_1_q02,pillar_1_q02choice2,密码策略 Yw2K9puPzl
Security,SEC 2 How do you manage identities for people and machines?,P2 Use temporary credentials,CodeBuild project environment variables should not contain clear text credentials,,CodeBuild 项目环境变量不应包含明文凭证,pillar_1_q02,pillar_1_q02choice3,代码构建项目环境变量不应包含明文凭证
Security,SEC 2 How do you manage identities for people and machines?,P0 Store and use secrets securely - i.e. never Exposed Access Keys in public Git Repo,IAM Access Key Rotation DqdJqYeRm5,,IAM 访问密钥轮换 DqdJqYeRm5,pillar_1_q02,pillar_1_q02choice4,访问密钥轮换 DqdJqYeRm5
Security,SEC 2 How do you manage identities for people and machines?,P0 Store and use secrets securely - i.e. never Exposed Access Keys in public Git Repo,Exposed Access Keys 12Fnkpl8Y5,,暴露访问密钥 12Fnkpl8Y5,pillar_1_q02,pillar_1_q02choice4,暴露的访问密钥 12Fnkpl8Y5
Security,SEC 2 How do you manage identities for people and machines?,"P1 Store and use secrets securely - i.e. store database, app secret etc in Secret Manager or equivalent.",Exposed Access Keys 12Fnkpl8Y5,,暴露访问密钥 12Fnkpl8Y5,pillar_1_q02,pillar_1_q02choice5,暴露的访问密钥 12Fnkpl8Y5
Security,SEC 2 How do you manage identities for people and machines?,P2 Rely on a centralized identity provider,IAM Use,,IAM 使用,pillar_1_q02,pillar_1_q02choice6,使用IAM
Security,SEC 2 How do you manage identities for people and machines?,P2 Rely on a centralized identity provider,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,,CodeBuild GitHub 或 Bitbucket 源存储库 URL 应使用 OAuth,pillar_1_q02,pillar_1_q02choice6,https://github.com/或Bitbucket源代码库的URL应使用OAuth
Security,SEC 2 How do you manage identities for people and machines?,P2 Rely on a centralized identity provider,IAM authentication should be configured for RDS clusters,,应为 RDS 集群配置 IAM 身份验证,pillar_1_q02,pillar_1_q02choice6,身份和访问管理(IAM)身份验证应为RDS集群进行配置。
Security,SEC 2 How do you manage identities for people and machines?,P2 Rely on a centralized identity provider,IAM authentication should be configured for RDS instances,,应为 RDS 实例配置 IAM 身份验证,pillar_1_q02,pillar_1_q02choice6,身份和访问管理(IAM)身份验证应该为RDS实例进行配置。
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,IAM Access Key Rotation DqdJqYeRm5,,IAM 访问密钥轮换 DqdJqYeRm5,pillar_1_q02,pillar_1_q02choice7,访问密钥轮换 DqdJqYeRm5
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,ACM certificates should be renewed after a specified time period,,ACM 证书应在指定时间段后更新,pillar_1_q02,pillar_1_q02choice7,应在指定时间期限后续签 ACM 证书。
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,API Gateway REST and WebSocket API execution logging should be enabled,,应启用 API Gateway REST 和 WebSocket API 执行日志记录,pillar_1_q02,pillar_1_q02choice7,应启用 API 网关 REST 和 WebSocket API 执行日志记录。
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,Secrets Manager secrets should have automatic rotation enabled,,Secrets Manager 密钥应启用自动轮换,pillar_1_q02,pillar_1_q02choice7,自动轮换密钥
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,Secrets Manager secrets should be rotated within a specified number of days,,Secrets Manager 密钥应在指定天数内轮换,pillar_1_q02,pillar_1_q02choice7,密钥管理器密钥应在指定天数内轮换。
Security,SEC 2 How do you manage identities for people and machines?,P1 Audit credentials periodically -  i.e. enables CloudTrail to track user activity and API usage,AWS CloudTrail Logging vjafUGJ9H0,,AWS CloudTrail 日志记录 vjafUGJ9H0,pillar_1_q02,pillar_1_q02choice8,亚马逊云科技跟踪日志
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,"RDS DB Instances should prohibit public access, determined by the PubliclyAccessible configuration Hs4Ma3G192",,RDS DB 实例应禁止公共访问，由 PubliclyAccessible 配置 Hs4Ma3G192 决定,pillar_1_q03,pillar_1_q03choice2,"禁止公共访问RDS DB实例,由PubliclyAccessible配置确定。"
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,S3 permissions granted to other AWS accounts in bucket policies should be restricted Hs4Ma3G169,,应限制存储桶策略中授予其他 AWS 账户的 S3 权限 Hs4Ma3G169,pillar_1_q03,pillar_1_q03choice2,应该限制在存储桶策略中授予其他 AWS 账户的 S3 权限。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,Unused IAM user credentials should be removed Hs4Ma3G144,,应删除未使用的 IAM 用户凭证 Hs4Ma3G144,pillar_1_q03,pillar_1_q03choice2,未使用的 IAM 用户凭据应该被删除。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM root user access key should not exist Hs4Ma3G140,,IAM 根用户访问密钥不应存在 Hs4Ma3G140,pillar_1_q03,pillar_1_q03choice2,根用户访问密钥不应该存在Hs4Ma3G140
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM users should not have IAM policies attached Hs4Ma3G138,,IAM 用户不应附加 IAM 策略 Hs4Ma3G138,pillar_1_q03,pillar_1_q03choice2,用户不应该附有 IAM 策略
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,"IAM policies should not allow full ""*"" administrative privileges Hs4Ma3G137",,IAM 策略不应允许完全“*”管理权限 Hs4Ma3G137,pillar_1_q03,pillar_1_q03choice2,"不应该允许 IAM 策略拥有完全的 ""*"" 管理权限。"
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM principals should not have IAM inline policies that allow decryption actions on all KMS keys Hs4Ma3G134,,IAM 主体不应具有允许对所有 KMS 密钥执行解密操作的 IAM 内联策略 Hs4Ma3G134,pillar_1_q03,pillar_1_q03choice2,不应该让 IAM 主体拥有允许对所有 KMS 密钥执行解密操作的 IAM 内联策略。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Grant least privilege access - i.e. No non-administrator users or roles have administrator privileges.,IAM customer managed policies should not allow decryption actions on all KMS keys Hs4Ma3G133,,IAM 客户管理策略不应允许对所有 KMS 密钥执行解密操作 Hs4Ma3G133,pillar_1_q03,pillar_1_q03choice2,不应允许对所有 KMS 密钥执行解密操作的 IAM 客户管理的策略。
Security,SEC 3 How do you manage permissions for people and machines?,P2 Share resources securely within your organization,Amazon ECS task definitions should have secure networking modes and user definitions. Hs4Ma3G145,,Amazon ECS 任务定义应该具有安全网络模式和用户定义。Hs4Ma3G145,pillar_1_q03,pillar_1_q03choice3,Amazon ECS任务定义应该具有安全的网络模式和用户定义。
Security,SEC 3 How do you manage permissions for people and machines?,P2 Share resources securely within your organization,CloudTrail log file validation should be enabled Hs4Ma3G109,,应启用 CloudTrail 日志文件验证 Hs4Ma3G109,pillar_1_q03,pillar_1_q03choice3,应启用 CloudTrail 日志文件验证
Security,SEC 3 How do you manage permissions for people and machines?,P2 Share resources securely within your organization,AWS CloudTrail Logging vjafUGJ9H0,,AWS CloudTrail 日志记录 vjafUGJ9H0,pillar_1_q03,pillar_1_q03choice3,亚马逊云服务 CloudTrail 日志记录
Security,SEC 3 How do you manage permissions for people and machines?,P2 Reduce permissions continuously,Remove unused Secrets Manager secrets Hs4Ma3G114,,删除未使用的 Secrets Manager secret Hs4Ma3G114,pillar_1_q03,pillar_1_q03choice4,移除未使用的 Secrets Manager 密钥 Hs4Ma3G114
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,Unused Network Access Control Lists should be removed Hs4Ma3G209,,应删除未使用的网络访问控制列表 Hs4Ma3G209,pillar_1_q03,pillar_1_q03choice5,未使用的网络访问控制列表应该被删除。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,IAM users' access keys should be rotated every 90 days or less Hs4Ma3G139,,IAM 用户的访问密钥应每 90 天或更短时间轮换一次 Hs4Ma3G139,pillar_1_q03,pillar_1_q03choice5,使用 IAM 的用户访问密钥应每 90 天或更短时间轮换一次。Hs4Ma3G139
Security,SEC 3 How do you manage permissions for people and machines?,P1 Manage access based on life cycle,IAM Access Key Rotation DqdJqYeRm5,,IAM 访问密钥轮换 DqdJqYeRm5,pillar_1_q03,pillar_1_q03choice5,访问密钥轮换 DqdJqYeRm5
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,RDS snapshot should be private Hs4Ma3G194,,RDS 快照应为私有 Hs4Ma3G194,pillar_1_q03,pillar_1_q03choice6,私有 RDS 快照 Hs4Ma3G194
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,S3 buckets should prohibit public write access Hs4Ma3G172,,S3 存储桶应禁止公共写访问 Hs4Ma3G172,pillar_1_q03,pillar_1_q03choice6,S3存储桶应禁止公共写入访问权限。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,S3 Block Public Access setting should be enabled Hs4Ma3G170,,应启用 S3 阻止公共访问设置 Hs4Ma3G170,pillar_1_q03,pillar_1_q03choice6,启用 S3 阻止公共访问设置。
Security,SEC 3 How do you manage permissions for people and machines?,P1 Analyze public and cross account access,Amazon S3 Bucket Permissions Pfx0RwqBli,,Amazon S3 存储桶权限 Pfx0RwqBli,pillar_1_q03,pillar_1_q03choice6,亚马逊 S3 存储桶权限 Pfx0RwqBli
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,CloudFront distributions should have logging enabled,,CloudFront 发行版应启用日志记录,pillar_1_q04,pillar_1_q04choice1,云前端分发应该启用日志记录
Security,SEC 4 How do you detect and investigate security events?,P1 Configure service and application logging,Amazon Elasticsearch Service domains should have audit logging enabled,,Amazon Elasticsearch Service 域应启用审计日志记录,pillar_1_q04,pillar_1_q04choice1,亚马逊 Elasticsearch 服务域应启用审核日志记录。
