Pillar Name,Question Title,Choice Title,Question ID,Choice ID,TA_checked,resource_comments
Security,SEC 1 How do you securely operate your workload?,P2 Separate workloads using accounts,pillar_1_q01,pillar_1_q01choice1,No,"Establish common guardrails and isolation between environments (such as production, development, and test) and workloads through a multi-account strategy. Account-level separation is strongly recommended, as it provides a strong isolation boundary for security, billing, and access."
Security,SEC 1 How do you securely operate your workload?,P0 Secure account root user and properties,pillar_1_q01,pillar_1_q01choice2,Yes,"Trusted Advisor Checks: 
MFA on Root Account 7DAFEmoDos

IAM Password Policy Yw2K9puPzl

Details:
The root user is the most privileged user in an AWS account, with full administrative access to all resources within the account, and in some cases cannot be constrained by security policies. Disabling programmatic access to the root user, establishing appropriate controls for the root user, and avoiding routine use of the root user helps reduce the risk of inadvertent exposure of the root credentials and subsequent compromise of the cloud environment.

"
Security,SEC 1 How do you securely operate your workload?,None of these,pillar_1_q01,option_no,No,Choose this if your workload does not follow these best practices.
Security,SEC 2 How do you manage identities for people and machines?,"P0 Use strong sign-in mechanisms - Enforce MFA for root account , power user accounts",pillar_1_q02,pillar_1_q02choice1,Yes,"Trusted Advisor Checks: 
MFA on Root Account 7DAFEmoDos

Password policies for IAM users should have strong configurations

MFA should be enabled for all IAM users that have a console password

* = Suggested but not mandatory

*Hardware MFA should be enabled for the root user

Details:
Sign-ins (authentication using sign-in credentials) can present risks when not using mechanisms like multi-factor authentication (MFA), especially in situations where sign-in credentials have been inadvertently disclosed or are easily guessed. Use strong sign-in mechanisms to reduce these risks by requiring MFA. We also recommend requiring strong password policies.
"
Security,SEC 2 How do you manage identities for people and machines?,P1 Use strong sign-in mechanisms - Enforce strong password policy,pillar_1_q02,pillar_1_q02choice2,Yes,"Trusted Advisor Checks: 
IAM Password Policy Yw2K9puPzl

Details:
We recommend enforcing strong password policies for IAM users.
"
Security,SEC 2 How do you manage identities for people and machines?,P2 Use temporary credentials,pillar_1_q02,pillar_1_q02choice3,Yes,"Trusted Advisor Checks: 
CodeBuild project environment variables should not contain clear text credentials

Details:
When doing any type of authentication, it's best to use temporary credentials instead of long-term credentials to reduce or eliminate risks, such as credentials being inadvertently disclosed, shared, or stolen.
"
Security,SEC 2 How do you manage identities for people and machines?,P0 Store and use secrets securely - i.e. never Exposed Access Keys in public Git Repo,pillar_1_q02,pillar_1_q02choice4,Yes,"Trusted Advisor Checks: 
IAM Access Key Rotation DqdJqYeRm5

Exposed Access Keys 12Fnkpl8Y5

Details:
A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised. Never Exposed Access Keys to public like Git Repo.
"
Security,SEC 2 How do you manage identities for people and machines?,"P1 Store and use secrets securely - i.e. store database, app secret etc in Secret Manager or equivalent.",pillar_1_q02,pillar_1_q02choice5,Yes,"Trusted Advisor Checks: 
Exposed Access Keys 12Fnkpl8Y5

Details:
A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised. Never Exposed Access Keys to public like Git Repo."
Security,SEC 2 How do you manage identities for people and machines?,P2 Rely on a centralized identity provider,pillar_1_q02,pillar_1_q02choice6,Yes,"Trusted Advisor Checks: 
IAM Use

CodeBuild GitHub or Bitbucket source repository URLs should use OAuth

IAM authentication should be configured for RDS clusters

IAM authentication should be configured for RDS instances

Details:
For workforce identities (employees and contractors), rely on an identity provider that allows you to manage identities in a centralized place. This makes it easier to manage access across multiple applications and systems, because you are creating, assigning, managing, revoking, and auditing access from a single location.
"
Security,SEC 2 How do you manage identities for people and machines?,P0 Audit and rotate credentials periodically - i.e. IAM Access Key Rotation,pillar_1_q02,pillar_1_q02choice7,Yes,"Trusted Advisor Checks: 
IAM Access Key Rotation DqdJqYeRm5

ACM certificates should be renewed after a specified time period

API Gateway REST and WebSocket API execution logging should be enabled

Secrets Manager secrets should have automatic rotation enabled

Secrets Manager secrets should be rotated within a specified number of days

Details:
Audit and rotate credentials periodically to limit how long the credentials can be used to access your resources. Long-term credentials create many risks, and these risks can be reduced by rotating long-term credentials regularly.

We recommend the access key is active and has been rotated in the last 90 days.

"
